date,1. open,2. high,3. low,4. close,5. volume
2021-03-19 20:00:00,194.04,194.04,194.0,194.0,722.0
2021-03-19 19:55:00,194.04,194.5,194.04,194.5,307.0
2021-03-19 18:30:00,194.5,194.5,194.5,194.5,130.0
2021-03-19 18:05:00,194.47,194.47,194.47,194.47,100.0
2021-03-19 17:55:00,194.36,194.4,194.36,194.4,613.0
2021-03-19 17:50:00,194.0441,194.0441,194.0441,194.0441,153.0
2021-03-19 17:45:00,194.35,194.35,194.35,194.35,250.0
2021-03-19 17:15:00,194.36,194.36,194.36,194.36,316.0
2021-03-19 17:05:00,194.38,194.38,194.38,194.38,175.0
2021-03-19 17:00:00,194.0401,194.375,194.0401,194.375,279.0
2021-03-19 16:55:00,194.05,194.05,194.05,194.05,286.0
2021-03-19 16:45:00,194.12,194.12,194.12,194.12,1126.0
2021-03-19 16:40:00,194.15,194.3922,194.1,194.12,1307.0
2021-03-19 16:25:00,194.39,194.39,194.39,194.39,106821.0
2021-03-19 16:20:00,194.15,194.2,194.15,194.2,1999.0
2021-03-19 16:15:00,194.0,194.0,194.0,194.0,325.0
2021-03-19 16:10:00,193.88,194.39,193.87,193.87,147675.0
2021-03-19 16:05:00,194.39,194.39,194.1899,194.1899,37842.0
2021-03-19 16:00:00,194.43,194.9899,193.42,194.24,292755.0
2021-03-19 15:55:00,194.0,195.5,193.72,194.235,121150.0
2021-03-19 15:50:00,193.98,194.0499,193.49,193.825,38665.0
2021-03-19 15:45:00,193.845,194.39,193.7469,194.2058,41461.0
2021-03-19 15:40:00,193.615,194.25,193.615,193.845,25128.0
2021-03-19 15:35:00,193.33,193.71,193.2621,193.71,32645.0
2021-03-19 15:30:00,193.38,193.6,192.975,193.41,23317.0
2021-03-19 15:25:00,193.29,193.5,193.01,193.4777,29531.0
2021-03-19 15:20:00,193.515,193.87,192.882,193.22,28269.0
2021-03-19 15:15:00,194.48,194.49,193.3,193.515,27016.0
2021-03-19 15:10:00,194.28,194.64,194.21,194.5,14545.0
