date,1. open,2. high,3. low,4. close,5. volume
2021-03-19 19:30:00,510.3,510.3,510.3,510.3,100.0
2021-03-19 18:05:00,510.5,510.6,510.5,510.6,810.0
2021-03-19 17:40:00,512.18,512.18,512.18,512.18,690.0
2021-03-19 17:25:00,510.33,510.33,510.33,510.33,167.0
2021-03-19 17:20:00,510.25,510.25,510.25,510.25,110.0
2021-03-19 17:15:00,510.36,510.36,510.24,510.24,2470.0
2021-03-19 17:05:00,510.6,510.6,510.43,510.43,403.0
2021-03-19 17:00:00,510.57,510.6,510.57,510.6,201.0
2021-03-19 16:55:00,510.74,511.07,510.74,511.07,964.0
2021-03-19 16:45:00,510.01,510.01,510.01,510.01,259.0
2021-03-19 16:40:00,510.36,510.36,510.35,510.35,583.0
2021-03-19 16:35:00,510.84,512.18,510.27,510.27,37088.0
2021-03-19 16:30:00,510.16,510.16,510.1,510.1,4278.0
2021-03-19 16:25:00,510.23,510.43,510.23,510.43,417.0
2021-03-19 16:20:00,510.51,512.18,510.51,510.51,415.0
2021-03-19 16:15:00,510.9,511.0,510.75,510.8,6178.0
2021-03-19 16:10:00,512.18,512.18,509.8,510.44,23555.0
2021-03-19 16:05:00,512.18,512.18,511.0,512.18,74885.0
2021-03-19 16:00:00,510.69,513.19,510.63,512.46,438581.0
2021-03-19 15:55:00,509.71,512.42,509.255,510.785,217869.0
2021-03-19 15:50:00,509.85,510.08,509.0,509.8,74206.0
2021-03-19 15:45:00,510.2,510.25,509.69,510.02,47187.0
2021-03-19 15:40:00,509.94,510.34,509.94,510.235,41566.0
2021-03-19 15:35:00,509.72,510.28,509.3,510.055,29227.0
2021-03-19 15:30:00,509.62,509.99,509.07,509.63,35588.0
2021-03-19 15:25:00,509.79,509.85,509.06,509.625,22416.0
2021-03-19 15:20:00,509.28,509.78,509.12,509.66,20370.0
2021-03-19 15:15:00,509.25,509.55,509.08,509.16,26803.0
2021-03-19 15:10:00,509.02,509.58,508.96,509.33,36455.0
2021-03-19 15:05:00,509.73,510.13,509.02,509.05,28007.0
2021-03-19 15:00:00,509.3976,509.8,509.26,509.8,29417.0
2021-03-19 14:55:00,509.2,509.655,509.14,509.439,22778.0
2021-03-19 14:50:00,509.29,509.34,508.8,509.34,11669.0
2021-03-19 14:45:00,508.84,509.2,508.66,509.2,17171.0
2021-03-19 14:40:00,508.94,509.01,508.64,508.8169,12605.0
2021-03-19 14:35:00,508.71,509.01,508.48,508.9088,22128.0
2021-03-19 14:30:00,508.48,509.1867,508.33,508.78,20567.0
2021-03-19 14:25:00,508.96,508.96,508.31,508.7,28502.0
2021-03-19 14:20:00,509.17,509.17,508.13,508.89,29908.0
2021-03-19 14:15:00,509.03,509.48,508.77,509.34,16591.0
2021-03-19 14:10:00,510.44,510.61,509.25,509.47,32047.0
2021-03-19 14:05:00,510.17,510.6653,509.93,510.35,17468.0
2021-03-19 14:00:00,510.12,510.32,509.85,510.007,23295.0
