date,1. open,2. high,3. low,4. close,5. volume
2021-03-19 20:00:00,230.56,230.81,230.5,230.55,13250.0
2021-03-19 19:00:00,230.8,230.8,230.5,230.64,5044.0
2021-03-19 18:00:00,230.75,230.93,230.35,230.77,25896.0
2021-03-19 17:00:00,230.35,231.08,230.04,230.66,5096651.0
2021-03-19 16:00:00,231.55,231.69,229.89,229.91,5107947.0
2021-03-19 15:00:00,231.59,231.74,230.86,231.55,2689622.0
2021-03-19 14:00:00,231.89,231.99,231.1,231.58,2393802.0
2021-03-19 13:00:00,231.43,231.9272,231.13,231.89,2599702.0
2021-03-19 12:00:00,231.16,231.59,230.17,231.44,2688355.0
2021-03-19 11:00:00,230.65,231.59,229.3496,231.155,4629353.0
2021-03-19 10:00:00,231.56,232.474,230.28,230.6717,7727346.0
2021-03-19 09:00:00,231.5,232.3,231.25,231.85,68440.0
2021-03-19 08:00:00,231.82,232.0,231.07,231.76,52915.0
2021-03-19 07:00:00,232.43,232.43,231.86,232.0,7445.0
2021-03-19 06:00:00,232.33,232.72,232.16,232.33,2615.0
2021-03-19 05:00:00,232.75,232.75,232.48,232.48,700.0
2021-03-18 20:00:00,230.95,231.1,230.76,230.9,10769.0
2021-03-18 19:00:00,231.07,231.2,230.95,230.95,9076.0
2021-03-18 18:00:00,231.02,231.18,230.5254,231.0707,11318.0
2021-03-18 17:00:00,230.72,231.6772,230.72,230.72,1000519.0
2021-03-18 16:00:00,231.09,231.45,230.33,230.72,7741336.0
2021-03-18 15:00:00,233.55,233.58,230.735,231.09,4266652.0
2021-03-18 14:00:00,231.91,233.59,231.8,233.5301,2519239.0
2021-03-18 13:00:00,232.38,233.4,231.8,231.89,3100233.0
2021-03-18 12:00:00,233.0,233.3,232.03,232.38,3276773.0
2021-03-18 11:00:00,233.21,233.36,232.21,232.99,4707456.0
2021-03-18 10:00:00,233.6,234.19,232.03,233.26,3497416.0
2021-03-18 09:00:00,234.839,236.448,233.25,233.6,72916.0
2021-03-18 08:00:00,235.29,235.46,233.11,233.56,108181.0
2021-03-18 07:00:00,234.85,235.97,234.85,235.07,8196.0
2021-03-18 06:00:00,234.4,235.37,234.2,234.85,11681.0
2021-03-18 05:00:00,235.38,235.38,234.13,234.4,9685.0
2021-03-17 20:00:00,237.04,237.4,237.0,237.26,4633.0
2021-03-17 19:00:00,236.96,237.67,236.96,237.02,3926.0
2021-03-17 18:00:00,236.7,237.04,236.65,237.04,7937.0
2021-03-17 17:00:00,237.03,237.37,236.57,236.57,719172.0
2021-03-17 16:00:00,237.93,238.55,236.44,237.19,4988103.0
2021-03-17 15:00:00,234.48,238.14,234.48,237.94,4995847.0
2021-03-17 14:00:00,233.77,234.77,233.62,234.4573,2313537.0
2021-03-17 13:00:00,233.81,234.6,233.23,233.79,3590694.0
2021-03-17 12:00:00,234.98,235.03,233.74,233.825,2638015.0
2021-03-17 11:00:00,236.165,236.59,234.82,234.99,2992310.0
2021-03-17 10:00:00,236.3,237.603,234.17,236.15,2874772.0
2021-03-17 09:00:00,236.85,237.5,235.59,236.3,161284.0
2021-03-17 08:00:00,237.38,237.4,235.67,236.16,54172.0
2021-03-17 07:00:00,237.0,237.1,237.0,237.1,492.0
2021-03-17 06:00:00,237.46,237.46,237.24,237.3,3804.0
2021-03-17 05:00:00,237.69,237.71,237.4,237.4,1217.0
2021-03-16 20:00:00,238.1,238.39,236.72,237.5,12857.0
2021-03-16 19:00:00,237.84,238.4,237.84,238.06,6027.0
2021-03-16 18:00:00,237.8,237.9,237.71,237.72,219233.0
2021-03-16 17:00:00,237.71,238.46,237.53,238.45,1347775.0
2021-03-16 16:00:00,237.322,239.25,237.03,237.69,4215181.0
2021-03-16 15:00:00,238.01,238.19,236.92,237.33,2800530.0
2021-03-16 14:00:00,238.872,239.48,237.73,238.019,2446056.0
2021-03-16 13:00:00,239.59,239.845,238.57,238.89,3169261.0
2021-03-16 12:00:00,239.56,240.055,239.28,239.57,3128660.0
2021-03-16 11:00:00,238.3,239.85,238.15,239.56,4468899.0
2021-03-16 10:00:00,235.57,238.31,234.81,238.3079,3288963.0
2021-03-16 09:00:00,235.43,235.82,234.223,235.7,28127.0
2021-03-16 08:00:00,235.51,235.8,235.26,235.69,13394.0
2021-03-16 07:00:00,235.46,235.64,235.27,235.64,1961.0
2021-03-16 06:00:00,235.11,235.28,235.07,235.28,875.0
2021-03-16 05:00:00,235.07,235.07,235.07,235.07,299.0
2021-03-15 20:00:00,234.7,234.7,234.5,234.5,2615.0
2021-03-15 19:00:00,234.81,234.9,234.59,234.73,2699.0
2021-03-15 18:00:00,234.93,234.99,234.79,234.9,60433.0
2021-03-15 17:00:00,234.81,235.2,234.76,234.93,1456270.0
2021-03-15 16:00:00,233.49,235.03,233.1886,234.81,4348243.0
2021-03-15 15:00:00,233.03,233.67,232.93,233.49,1897305.0
2021-03-15 14:00:00,232.875,233.16,232.55,233.0201,1609391.0
2021-03-15 13:00:00,232.77,233.12,232.495,232.86,2025865.0
2021-03-15 12:00:00,233.235,233.4016,231.81,232.79,3188239.0
